,Ross,Jake,eli,Aaron,Michael,Matthew,Jacob,jordan,Jordan Jay,JJ Swerve,Zach,Zac Neff
QB,Lamar Jackson,Dak Prescott,Russell Wilson,Ben Roethlisberger,Kyler Murray,Cam Newton,Ryan Tannehill,Drew Brees,Matt Ryan,Patrick Mahomes,Deshaun Watson,Aaron Rodgers
WR1,T.Y. Hilton,Chris Godwin,Julio Jones,Amari Cooper,Cooper Kupp,Terry McLaurin,Tyreek Hill,Adam Thielen,DK Metcalf,DJ Chark Jr.,Davante Adams,Michael Thomas
WR2,Marvin Jones Jr.,Kenny Golladay,JuJu Smith-Schuster,Allen Robinson II,A.J. Green,Michael Gallup,Odell Beckham Jr.,Tyler Lockett,Courtland Sutton,John Brown,Calvin Ridley,DJ Moore
RB1,Alvin Kamara,Dalvin Cook,Nick Chubb,Clyde Edwards-Helaire,Josh Jacobs,Derrick Henry,Austin Ekeler,Saquon Barkley,Ezekiel Elliott,Christian McCaffrey,Joe Mixon,James White
RB2,Kenyan Drake,Devin Singletary,David Johnson,Cam Akers,Aaron Jones,Raheem Mostert,D'Andre Swift,Chris Carson,Todd Gurley II,James Conner,Kareem Hunt,James Robinson
TE,T.J. Hockenson,Dallas Goedert,Tyler Higbee,Jared Cook,Zach Ertz,George Kittle,Mark Andrews,Austin Hooper,Darren Waller,Evan Engram,Hayden Hurst,Travis Kelce
W/R/T,Jonathan Taylor,Diontae Johnson,Nyheim Hines,DeAndre Hopkins,Emmanuel Sanders,Mike Evans,Henry Ruggs III,Stefon Diggs,Zack Moss,Scotty Miller,A.J. Brown,Robert Woods
BN1,Rob Gronkowski,Melvin Gordon III,Will Fuller V,DeVante Parker,Robby Anderson,Leonard Fournette,Mark Ingram II,Noah Fant,Sterling Shepard,Keenan Allen,David Montgomery,Antonio Gibson
BN2,Jarvis Landry,Hunter Henry,Marquise Brown,J.K. Dobbins,Latavius Murray,Jamison Crowder,Carson Wentz,Julian Edelman,Brandin Cooks,Tyler Boyd,Preston Williams,CeeDee Lamb
BN3,Josh Allen,Boston Scott,Christian Kirk,Ronald Jones II,N'Keal Harry,Jerry Jeudy,Darius Slayton,Matt Breida,Matthew Stafford,Tarik Cohen,Tony Pollard,Anthony Miller
BN4,Allen Lazard,Alexander Mattison,Tevin Coleman,Phillip Lindsay,Darrell Henderson Jr.,Curtis Samuel,Jordan Howard,Tom Brady,Justin Jefferson,Mike Gesicki,Mecole Hardman,Jared Goff
BN5,Sony Michel,Kerryon Johnson,DeSean Jackson,Marlon Mack,Jalen Reagor,Jonnu Smith,Chris Herndon,Duke Johnson,Blake Jarwin,Chase Edmonds,Joe Burrow,Brandon Aiyuk
BN6,Larry Fitzgerald,Golden Tate,Eric Ebron,Darrel Williams,,Sammy Watkins,Michael Pittman Jr.,Mike Williams,Marquez Valdes-Scantling,Daniel Jones,Breshad Perriman,Hunter Renfrow
BN7,AJ Dillon,Parris Campbell,Jimmy Garoppolo,Tim Patrick,,Darrynton Evans,Laviska Shenault Jr.,Malcolm Brown,Philadelphia,Adrian Peterson,Bryan Edwards,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Jake Elliott,Chris Boswell,Ka'imi Fairbairn,Dan Bailey,Justin Tucker,Greg Zuerlein,Matt Prater,Robbie Gould,Harrison Butker,Zane Gonzalez,Younghoe Koo,Wil Lutz
DEF,Minnesota,New Orleans,Baltimore,Buffalo,Indianapolis,Pittsburgh,New England,San Francisco,Tennessee,Kansas City,Chicago,Seattle
